Sector,Subsector,Branch,Subbranch,Class,Description,Economic units,Workers total,Workers hired by the unit ,Fixed salary workers,No fixed salary workers,Workers not hired by the unit,Payments,Expenses,Incomes,Production,Intermediate expenses,Added value,Fixed capital formation,Variation of stocks,Fixed assets,Depreciation
Sector,Subsector 212,,,,Municipio Guanajuato,5552,25289,21862,13713,8149,3427,1052.6,8333.8,12666.2,9144.3,4791.6,4352.7,683,58.8,5279,583.8
Sector 21 Mining ,,,,,Sector 21 Mining,14,2665,1281,1278,3,1384,224.8,662.5,1876.8,1874.2,662.5,1211.7,526.6,5,1257.3,152.6
Sector 21 Mining   ,Subsector 212,,,,"Subsector 212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",11,2413,1085,1082,3,1328,196.4,636.1,1711.7,1709.1,636.1,1073,504.3,5,1139.3,146.3
Sector 21 Mining ,Subsector 212,Branch 2122,,,Branch 2122 Minería de minerales metálicos,5,2397,1069,1069,0,1328,195.8,634.9,1710,1707.4,634.9,1072.5,504.2,5,1132.9,145.4
Sector 21 Mining ,Subsector 212,Branch 2122,Subbranch 21222,,Subbranch 21222 Minería de oro y plata,5,2397,1069,1069,0,1328,195.8,634.9,1710,1707.4,634.9,1072.5,504.2,5,1132.9,145.4
Sector 21 Mining ,Subsector 212,Branch 2122,Subbranch 21222,Class 21222C,Classs agrupadas por principio de confidencialidad,5,2397,1069,1069,0,1328,195.8,634.9,1710,1707.4,634.9,1072.5,504.2,5,1132.9,145.4
Sector 21 Mining ,Subsector 212,Branch 2123,,,Branch 2123 Minería de minerales no metálicos,6,16,16,13,3,0,0.6,1.2,1.7,1.7,1.2,0.5,0,0,6.4,0.9
Sector 21 Mining ,Subsector 212,Branch 2123,Subbranch 2123C,,Subbranchs agrupadas por principio de confidencialidad,6,16,16,13,3,0,0.6,1.2,1.7,1.7,1.2,0.5,0,0,6.4,0.9
Sector 21 Mining ,Subsector 212,Branch 2123,Subbranch 2123C,Class 2123CC,Classs agrupadas por principio de confidencialidad,6,16,16,13,3,0,0.6,1.2,1.7,1.7,1.2,0.5,0,0,6.4,0.9
Sector 21 Mining ,Subsector 213,,,,Subsector 213 Servicios relacionados con la minería,3,252,196,196,0,56,28.4,26.4,165.1,165.1,26.4,138.7,22.3,0,118,6.3
Sector 21 Mining ,Subsector 213,Branch 2131,,,Branch 2131 Servicios relacionados con la minería,3,252,196,196,0,56,28.4,26.4,165.1,165.1,26.4,138.7,22.3,0,118,6.3
Sector 21 Mining ,Subsector 213,Branch 2131,Subbranch 21311,,Subbranch 21311 Servicios relacionados con la minería,3,252,196,196,0,56,28.4,26.4,165.1,165.1,26.4,138.7,22.3,0,118,6.3
Sector 21 Mining ,Subsector 213,Branch 2131,Subbranch 21311,Class 213119,Class 213119 Otros servicios relacionados con la minería,3,252,196,196,0,56,28.4,26.4,165.1,165.1,26.4,138.7,22.3,0,118,6.3
Sector 23 Construction ,,,,,Sector 23 Construction ,59,1914,1865,1828,37,49,106.2,911.3,1233.8,1227.5,911.3,316.1,1,4.3,233.6,23.6
Sector 23 Construction,Subsector 236,,,,Subsector 236 Edificación,39,859,815,792,23,44,41.6,326.6,451.3,445.2,326.6,118.7,2.4,4.9,114.2,12.5
Sector 23 Construction,Subsector 236,Branch 2361,,,Branch 2361 Edificación residencial,10,114,89,83,6,25,4.2,17.7,27.3,26.6,17.7,8.9,0.1,-0.1,8.6,1
Sector 23 Construction,Subsector 236,Branch 2361,Subbranch 23611,,Subbranch 23611 Edificación residencial,10,114,89,83,6,25,4.2,17.7,27.3,26.6,17.7,8.9,0.1,-0.1,8.6,1
Sector 23 Construction,Subsector 236,Branch 2361,Subbranch 23611,Class 236111,Class 236111 Edificación de vivienda unifamiliar,6,76,54,51,3,22,3.2,9.6,14.6,14,9.6,4.4,0,0,5.1,0.6
Sector 23 Construction,Subsector 236,Branch 2361,Subbranch 23611,Class 23611C,Classs agrupadas por principio de confidencialidad,4,38,35,32,3,3,1,8.1,12.7,12.6,8.1,4.5,0.1,0,3.6,0.4
Sector 23 Construction,Subsector 236,Branch 2362,,,Branch 2362 Edificación no residencial,29,745,726,709,17,19,37.5,308.8,424.1,418.6,308.8,109.8,2.3,5,105.5,11.5
Sector 23 Construction,Subsector 236,Branch 2362,Subbranch 23622,,Subbranch 23622 Edificación de inmuebles comerciales y de servicios,29,745,726,709,17,19,37.5,308.8,424.1,418.6,308.8,109.8,2.3,5,105.5,11.5
Sector 23 Construction,Subsector 236,Branch 2362,Subbranch 23622,Class 23622C,Classs agrupadas por principio de confidencialidad,29,745,726,709,17,19,37.5,308.8,424.1,418.6,308.8,109.8,2.3,5,105.5,11.5
